Data Source,,,,,,,,,
,,,,,,,,,
Last Updated Date,,,,,,,,,
,,,,,,,,,
Country Name,2011,2012,2013,2014,2015,2016,2017,2018,2019
Kiribati,1644.40755349869,1698.91912438014,1628.64259354319,1546.88176752726,1459.14398299206,1506.23100308107,1566.44713639955,1607.22982544435,1410.01464320535
St. Kitts and Nevis,17571.984460028,17293.8060527894,18315.914675326,19945.3151701577,20025.652352499,21079.520970707,22148.5124341669,22533.8820531551,23204.9705641255
"Korea, Rep.",25097.595426845,25459.1689000965,27179.5170146052,29252.9312377352,28737.4391706499,29280.4403170048,31600.7358741365,33447.1562836166,31902.4169048194
Kuwait,49010.3105001299,51271.0677569339,47762.7967032092,43239.8351779171,29315.1985079166,27026.6876602182,29258.2663270479,32012.1875249538,30666.2371314234
Latin America & Caribbean (excluding high income),9945.02468102074,9792.18895723066,9937.19652727501,9870.61765396447,8301.02679356578,7972.03218839112,8788.35026750045,8446.59232232899,8246.5166728875
Lao PDR,1363.72529042766,1566.00974499584,1815.44023786192,1984.5086701174,2125.45905698314,2309.0490761946,2439.4633552251,2553.36186646266,2598.50552320723
Lebanon,7914.1095681645,8500.1805629403,8255.20921055985,7665.37969186256,7802.75136769776,8172.29947599133,8679.89742212366,9225.84515486901,8925.42186017072
Liberia,573.526422156584,644.455576742833,717.635753333907,713.734882389203,699.662946853965,722.131226789418,706.892691974846,700.037039377706,665.878447568436
Libya,7784.13321371462,15765.4197906677,12589.5297148358,9408.75254634115,7867.5157311439,7945.00605015965,10529.1162687455,11838.2987072109,10542.4290201042
St. Lucia,9110.75181022028,9231.57625405725,9542.71357425779,10007.1445097875,10290.3715682224,10574.3865772889,11270.4747103578,11563.8304251364,11773.4274818992
Latin America & Caribbean,10306.4306556861,10311.907062618,10450.9409414168,10539.3744128198,8723.13545715196,8421.1480767647,9255.8059757905,8977.99255312428,8772.56219413791
Least developed countries: UN classification,937.58335831181,956.476889820784,1009.86147968941,1062.53117606359,1002.97034163501,1022.79276254968,1115.00297226396,1066.10618346362,1098.25615521298
Low income,822.329813582196,759.425948586411,755.011285634316,793.57205314092,774.247647363644,747.318624189088,804.873520475631,662.855806935501,686.222679079934
Liechtenstein,158603.608966707,149461.78557146,173659.411799089,179467.516166777,167809.269874833,165845.995200652,170875.682067431,175286.679024684,167259.160311816
Sri Lanka,3248.0402104632,3351.89247576451,3643.83244664348,3885.62361617465,3990.35311739446,4107.82977539914,4388.20190593728,4360.58473469252,4082.69404871533
Lower middle income,1912.06582563075,1982.96448285105,1991.8131752002,2062.51992003302,1979.55537109609,2037.7253258969,2159.48628984457,2179.9540622554,2238.51882000162
Low & middle income,4148.79923162517,4355.4822148809,4547.87982427936,4640.41499315618,4342.59521272138,4320.05019272912,4688.84021819147,4908.17192101564,4966.26046019449
Lesotho,1265.85794508512,1205.85998481002,1141.3609231718,1165.05065002416,1113.83683453612,994.239764062067,1062.4561920176,1162.97885412072,1061.22335618067
Late-demographic dividend,7525.55031818704,7991.47128109334,8544.80177486848,8812.62863347942,8213.98043073017,8182.34473545212,9022.30188954083,9840.39463120476,9979.38342083542
Lithuania,14376.9478643932,14367.709424872,15729.6524666512,16551.018202078,14263.9645773495,15008.3132445526,16885.4073948373,19186.359591641,19615.5491450175
Luxembourg,119025.057203467,112584.676270958,120000.140729859,123678.702143275,105462.012584423,106899.293549552,110193.213797228,116786.511654677,112726.439672814
Latvia,13338.9622350852,13847.3379393194,15007.4918561719,15742.3913381908,13786.4567953114,14331.7515885049,15695.1151541059,17865.0310947642,17883.3494113217
"Macao SAR, China",64528.3628232928,74111.6011863847,86853.4770469877,90873.6024865671,73220.6355551661,71919.054918813,78896.2747485132,84779.4536941057,82998.6361006441
St. Martin (French part),21344.5873046446,,,21920.0237806503,,,,,19691.6167115689
Morocco,3302.453125,3164.00463867188,3377.6435546875,3430.53442382813,3139.22827148438,3132.9521484375,3288.50268554688,3492.67260742188,3498.58276367188
Monaco,179369.268180394,165497.097810044,185055.517569114,195772.724261668,170338.680381498,174412.494536127,173611.687859934,193968.090133158,199382.838585354
Moldova,2941.36224066021,3044.8084324815,3321.04397795719,3289.16784588695,2749.91303825395,2847.63506882245,3454.95469039113,4156.95750022299,4404.95042249597
Madagascar,516.902539255093,504.173737710132,526.688019635403,517.136183122584,455.63803458407,464.61615837171,503.498058680237,512.543991506858,512.27966560241
Maldives,7409.33190310175,7447.41560461439,8222.55803576643,8872.128379429,9480.43151420101,9708.14134750478,10194.7461477043,11034.7235971635,11349.8592642235
Middle East & North Africa,8320.32301974344,8794.72980291862,8471.77558646281,8345.5669038835,7217.65162423909,7158.04976907986,7337.21354907065,7565.28163434021,7444.85563432703
Mexico,10766.6099388208,10842.7330888296,11317.4910611485,11490.0216901556,10098.1731805195,9152.73722334937,9693.33009125499,10130.3206984553,10434.5783651735
